date,SKUCode,Description,total_qty
20260105,1325121715100SRBT0,NA,1603
20260105,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,407
20260105,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),1093
20260105,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,2186
20260105,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,146
20260105,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,2696
20260105,1325213615099MSXT0,T135/70R15 STAR-XT  TL,12716
20260105,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,2649
20260105,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,535
20260105,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,2284
20260105,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,2702
20260105,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,1085
20260105,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,41658
20260105,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,2027
20260105,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,668
20260105,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,1955
20260105,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,12493
20260105,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,3243
20260105,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,630
20260105,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,1996
20260105,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,3009
20260105,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,10517
20260105,1325216614081SUTR0,NA,12352
20260105,1325216614081TVECE,NA,581
20260105,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,14887
20260105,1325216814085SUTR0,165/80R14 UX TOURING TL,6567
20260105,1325216814085TURL0,16580R14 UX ROYALE TL,9983
20260105,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,1141
20260105,1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,2761
20260105,1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,439
20260105,1325217514082HURL2,NA,387
20260105,1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),1593
20260105,1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,2116
20260105,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,6331
20260105,1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,416
20260105,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,3612
20260105,1325217515084HURP0,NA,1043
20260105,1325217613082TUNE2,NA,2621
20260105,1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,402
20260105,1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,1801
20260105,1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,1801
20260105,1325218414082HUSP0,NA,2547
20260105,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,3737
20260105,1325218514086HURL0,185/65R14 UX Royale,2546
20260105,1325218515088HTMX0,185/65 R15 TAXI MAX TL,7147
20260105,1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,1174
20260105,1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,1439
20260105,1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,4627
20260105,1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,4680
20260105,1325218614088HURL0,185/70R14 UX Royale,3267
20260105,1325218614088TVECE,185/70R14 Vectra,828
20260105,1325219316087VURL0,195/55R16 UX ROYALE TL  87V,5539
20260105,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,2155
20260105,1325219316087VUTR0,195/55R16 UX TOURING TL,4707
20260105,1325219416089HRHE0,195/60R16 Ranger HPE TL,1735
20260105,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,226
20260105,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,3967
20260105,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,1156
20260105,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,527
20260105,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,2859
20260105,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,981
20260105,1325220516095HTMX0,NA,5708
